,contestant,Fake_contestant,PID,Fake_PID,Sex,Fake_Sex
0,Richard Hatch,Dorothy Harvey,1,CFMR05313324798782,M,Sex 1
1,Kelly Wiglesworth,George Gill,2,TXLH93389939364834,F,Sex 2
2,Rudy Boesch,Dr Josephine Mitchell,3,DEDR19146806131267,M,Sex 1
3,Sue Hawk,Mr Bruce Parker,4,EENX50912782439658,F,Sex 2
4,Sean Keniff,Samuel Brown,5,CQJX02651383202736,M,Sex 1
5,Colleen Haskell,Ms Leah Williams,6,VWIJ11387986886121,F,Sex 2
6,Gervase Peterson,Stephen Taylor,7,CLDX60958456254936,M,Sex 1
7,Jenna Lewis,Maurice Day,8,CKSN09844554450709,F,Sex 2
8,Greg Buis,Dennis Hyde,9,VKAZ41465990171162,M,Sex 1
9,Gretchen Cordy,Dr Kenneth Thomson,10,IAQR58810885403371,F,Sex 2
10,Joel Klug,Mr Julian Green,11,SUJO12372336814411,M,Sex 1
11,Dirk Been,Ellie Leonard,12,MVAK79371430601363,M,Sex 1
12,Ramona Gray,Mr Gregory Holmes,13,UYAA14591406743454,F,Sex 2
13,Stacey Stillman,Joyce Lowe,14,TJMO55155571890936,F,Sex 2
14,B.B. Andersen,Sian Cameron-Smith,15,PQBU10509076972466,M,Sex 1
15,Sonja Christopher,Callum Thornton,16,JQQH73358199303738,F,Sex 2
16,Tom Westman,Mr Samuel Davis,131,QQZK07199801438080,M,Sex 1
17,Katie Gallagher,Dr Jonathan Perry,132,OAQW33324144837808,F,Sex 2
18,Ian Rosenberger,Donald Little,133,NWCT36938976755375,M,Sex 1
19,Jenn Lyon,Suzanne Doyle,134,GRBM89591735646772,F,Sex 2
20,Caryn Groedel,Bethany Stephens,135,OCTD70977343012694,F,Sex 2
21,Gregg Carey,Dr Jay Duncan,136,QXRE76998063604001,M,Sex 1
22,Stephenie LaGrossa,Christian Vaughan,137,USFM94278166857887,F,Sex 2
23,Janu Tornell*,Sheila Clark,138,TDWN50407419589334,F,Sex 2
24,Coby Archa,Dr Jayne Poole,139,HKBV87201642952174,M,Sex 1
25,Bobby Jon Drinkard,Debra Watson,140,DMRC88291997080861,M,Sex 1
26,Ibrehem Rahman,Jennifer Lewis,141,SZBI92731461259785,M,Sex 1
27,James Miller,Paul Williams,142,CNYX61406011606049,M,Sex 1
28,Angie Jakusz,Jeffrey Jones,143,NKMW44452816309950,F,Sex 2
29,Willard Smith,Ms Natalie Lloyd,144,HJBQ20801835543849,M,Sex 1
30,Kim Mullen,Sean Davies,145,AZIO11911668905943,F,Sex 2
31,Jeff Wilson,Carol Singh,146,KHQD11549492685063,M,Sex 1
32,Ashlee Ashby,Mr Leslie Miller,147,NLXM73625940402780,F,Sex 2
33,Jolanda Jones,Mrs Katie Barton,148,ZIAG15739743890507,F,Sex 2
34,Wanda Shirk,Dr Elliot Walker,149,PPVE02848024782825,F,Sex 2
35,Jonathan Libby,Keith Norris,150,WIEG71775469121576,M,Sex 1
36,Danni Boatwright,Tracy Davies-Collins,151,GQGD26886212448373,F,Sex 2
37,Stephenie LaGrossa,Christian Vaughan,137,USFM94278166857887,F,Sex 2
38,Rafe Judkins,Joel Jones-Anderson,152,OBKU68404249281029,M,Sex 1
39,Lydia Morales,Donald Morris-Hunt,153,UOCM27469190900739,F,Sex 2
40,Cindy Hall,Samantha Jones,154,GSJD02616257689700,F,Sex 2
41,Judd Sergeant,Benjamin Stephens,155,YCKD83307710557355,M,Sex 1
42,Gary Hogeboom,Sara Savage,156,VHEK46386195110611,M,Sex 1
43,Jamie Newton,Eric Faulkner-Ellis,157,SNHP49876350425908,M,Sex 1
44,Bobby Jon Drinkard,Debra Watson,140,DMRC88291997080861,M,Sex 1
45,Brandon Bellinger,Paul Todd,158,RQRQ43105125145234,M,Sex 1
46,Amy O'Hara,Mr Gordon Foster,159,PTZG35466194592418,F,Sex 2
47,Brian Corridan,Jane Mills,160,KTPE52864752071258,M,Sex 1
48,Margaret Bobonich,Maureen Cox-Hargreaves,161,KCTX90918297458874,F,Sex 2
49,Blake Towsley,Frederick Taylor,162,SEUQ49492608335893,M,Sex 1
50,Brooke Struck,Mrs Ellie Cole,163,EEZT04677481142790,F,Sex 2
51,Brianna Varela,Mrs Carolyn Begum,164,QXRF96286545589321,F,Sex 2
52,Morgan McDevitt,Josephine Thomas,165,ICQN88086969535249,F,Sex 2
53,Jim Lynch,Darren Mason,166,WCRX82417871024068,M,Sex 1
54,Aras Baskauskas,Lynda Miller,167,HHQP27048204167771,M,Sex 1
55,Danielle DiLorenzo,Kathryn Harrison-Hancock,168,KKBS92543625302154,F,Sex 2
56,Terry Deitz,Nathan Smith,169,QCOZ92572901687408,M,Sex 1
57,Cirie Fields,Naomi Cole,170,VOXB12697567069851,F,Sex 2
58,Shane Powers,Dr Brett Kelly,171,QKUC53961190748120,M,Sex 1
