PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Sex,Birthday,Day 1 Filming date,Age,,VVp,VAPi
1,1,Richard Hatch,1.87,16.10,0.12,0,10,6,73,11,0.90,2.55,7,4,7,0.5714285714,1.59,7.84,39,1,1,1,0.91,0.09,4.41,6,0,8,1,14,1,0.07,5,2,6,3,11,5,0.455,0,0,0,4,0.36,6,0.60,M,4/8/1961,3/13/2000,38.9,,,6
2,1,Kelly Wiglesworth,5.87,16.10,0.36,2,6,0,73,11,0.55,3.82,11,3,7,0.4285714286,1.34,12.26,39,2,1,5,0.55,0.45,9.69,6,1,8,4,14,5,0.36,5,2,6,3,11,5,0.455,0,0,0,0,0.00,6,0.86,F,6/24/1977,3/13/2000,22.7,,,0
3,1,Rudy Boesch,1.62,16.10,0.10,3,10,8,73,11,0.90,2.12,6,0,7,0,1.00,3.74,38,3,1,1,0.91,0.09,3.74,6,0,8,1,14,1,0.07,5,2,6,2,11,4,0.364,0,0,0,5,0.45,5,0.50,M,1/20/1928,3/13/2000,72.1,,,8
4,1,Sue Hawk,0.87,15.10,0.06,0,9,5,70,10,0.89,2.80,6,0,7,0,0.95,3.67,37,4,1,1,0.90,0.10,3.67,6,0,7,0,13,0,0.00,5,2,6,3,11,5,0.455,0,0,0,4,0.40,6,0.60,F,8/17/1961,3/13/2000,38.6,,,5
5,1,Sean Keniff,1.87,14.10,0.13,0,6,9,66,9,0.65,1.44,5,0,7,0,0.78,3.30,36,5,1,3,0.67,0.33,3.30,6,1,6,0,12,1,0.08,5,2,6,3,11,5,0.455,0,0,0,4,0.44,4,0.44,M,11/27/1969,3/13/2000,30.3,,,9
6,1,Colleen Haskell,2.56,12.07,0.21,3,3,7,61,8,0.36,0.95,5,0,7,0,0.57,3.51,33,6,1,5,0.38,0.63,3.51,5,2,5,0,10,2,0.20,5,1,6,3,11,4,0.364,0,0,0,3,0.38,3,0.38,F,12/6/1976,3/13/2000,23.3,,,7
7,1,Gervase Peterson,2.89,9.07,0.32,2,1,6,55,7,0.13,0.40,5,0,7,0,0.45,3.29,30,7,1,6,0.14,0.86,3.29,3,1,4,1,7,2,0.29,5,2,6,3,11,5,0.455,0,0,0,2,0.29,3,0.50,M,11/2/1969,3/13/2000,30.4,,,6
8,1,Jenna Lewis,1.23,7.07,0.17,0,4,11,48,6,0.63,1.24,1,0,7,0,0.80,2.47,27,8,1,2,0.67,0.33,2.47,2,0,3,0,5,0,0.00,5,3,6,3,11,6,0.545,0,0,0,5,0.83,1,0.17,F,7/16/1977,3/13/2000,22.7,,,11
9,1,Greg Buis,2.56,5.07,0.50,2,1,6,40,5,0.17,0.56,4,0,7,0,0.67,3.12,24,9,1,4,0.20,0.80,3.12,1,1,2,1,3,2,0.67,5,1,6,3,11,4,0.364,0,0,0,1,0.20,2,0.50,M,12/31/1975,3/13/2000,24.2,,,6
10,1,Gretchen Cordy,1.23,3.07,0.40,0,3,4,31,4,0.72,2.63,3,0,7,0,1.12,3.85,21,10,1,1,0.75,0.25,3.85,0,0,1,0,1,0,0.00,5,3,6,3,11,6,0.545,0,0,0,1,0.25,3,0.75,F,2/7/1962,3/13/2000,38.1,,,4
11,1,Joel Klug,0.89,2.07,0.43,1,2,4,21,3,0.60,2.33,2,0,7,0,1.03,3.23,18,11,1,1,0.67,0.33,3.23,0,0,0,0,0,0,#DIV/0!,5,2,6,3,11,5,0.455,0,0,0,1,0.33,2,0.67,M,4/13/1972,3/13/2000,27.9,,,4
12,1,Dirk Been,0.62,1.51,0.41,1,2,4,21,3,0.60,2.33,2,0,7,0,1.01,2.95,15,12,1,1,0.67,0.33,2.95,0,0,0,0,0,0,#DIV/0!,4,2,5,2,9,4,0.444,0,0,0,1,0.33,2,0.67,M,6/15/1976,3/13/2000,23.7,,,4
13,1,Ramona Gray,0.39,0.99,0.40,1,1,6,15,2,0.30,1.40,0,0,7,0,0.70,1.79,12,13,1,1,0.50,0.50,1.79,0,0,0,0,0,0,#DIV/0!,3,1,4,2,7,3,0.429,0,0,0,2,1.00,0,0.00,F,1/20/1971,3/13/2000,29.1,,,6
14,1,Stacey Stillman,0.29,0.68,0.42,0,0,6,15,2,-0.20,0.00,0,0,7,0,0.22,0.29,9,14,1,2,0.00,1.00,0.29,0,0,0,0,0,0,#DIV/0!,2,1,3,1,5,2,0.400,0,0,0,2,1.00,0,0.00,F,8/11/1972,3/13/2000,27.6,,,6
